date,um100,um025,pm1,pm25,um010,pm10,um003,temperature,um050,um005,pressure,humidity,locationId,location,latitude,longitude,country
2023-08-21T16:00:00+07:00,0.007000000000000002,0.18600000000000008,29.006666666666668,43.819999999999986,3.898333333333334,53.603333333333325,71.05600000000001,96.0,0.025000000000000012,20.181,1009.279,42.2,222854,Ancol,-6.124591,106.85121,ID
2023-08-21T17:00:00+07:00,0.005862068965517242,0.15931034482758621,27.689655172413794,41.500000000000014,3.4455172413793105,50.189655172413794,64.8206896551724,93.17241379310344,0.0213793103448276,18.34862068965517,1009.5275862068964,44.86206896551724,222854,Ancol,-6.124591,106.85121,ID
2023-08-21T18:00:00+07:00,0.008620689655172415,0.1837931034482759,27.26206896551724,41.61379310344828,3.491034482758622,50.3206896551724,63.5244827586207,91.44827586206897,0.027586206896551738,17.990689655172414,1010.0348275862068,46.724137931034484,222854,Ancol,-6.124591,106.85121,ID
2023-08-21T19:00:00+07:00,0.00375,0.1416666666666667,25.233333333333334,38.02916666666665,2.9291666666666667,45.32083333333333,55.66541666666668,90.0,0.02041666666666667,15.748750000000001,1010.6154166666666,50.541666666666664,222854,Ancol,-6.124591,106.85121,ID
2023-08-21T20:00:00+07:00,0.006296296296296296,0.13925925925925928,24.859259259259257,37.0962962962963,2.8333333333333326,44.096296296296295,53.52407407407409,89.88888888888889,0.01851851851851852,15.138148148148149,1010.9774074074072,52.407407407407405,222854,Ancol,-6.124591,106.85121,ID
2023-08-21T21:00:00+07:00,0.009600000000000003,0.16840000000000002,27.14,40.892,3.3472000000000004,49.676,62.00759999999998,89.2,0.029600000000000008,17.566399999999998,1011.5276000000002,53.36,222854,Ancol,-6.124591,106.85121,ID
2023-08-21T22:00:00+07:00,0.013461538461538466,0.2173076923076924,29.773076923076925,45.25384615384616,3.9973076923076927,55.88076923076923,72.7123076923077,88.38461538461539,0.04000000000000001,20.583076923076927,1012.1184615384616,56.69230769230769,222854,Ancol,-6.124591,106.85121,ID
2023-08-21T23:00:00+07:00,0.014230769230769234,0.21538461538461548,29.996153846153845,45.38076923076923,4.0346153846153845,55.99999999999999,72.55846153846154,87.61538461538461,0.03615384615384616,20.616923076923076,1012.4107692307692,59.38461538461539,222854,Ancol,-6.124591,106.85121,ID
2023-08-22T00:00:00+07:00,0.011818181818181821,0.2290909090909091,30.018181818181823,45.554545454545455,4.108636363636364,56.33636363636365,72.935,87.0,0.037272727272727284,20.71136363636364,1012.2549999999999,59.68181818181818,222854,Ancol,-6.124591,106.85121,ID
2023-08-22T01:00:00+07:00,0.017083333333333336,0.24291666666666675,30.762500000000003,46.94166666666666,4.38375,58.20416666666667,75.81333333333333,87.04166666666667,0.040416666666666684,21.569999999999997,1011.5837499999998,60.333333333333336,222854,Ancol,-6.124591,106.85121,ID
2023-08-22T02:00:00+07:00,0.012608695652173915,0.23304347826086963,29.9304347826087,45.79565217391304,4.206086956521739,56.56521739130434,72.09347826086957,87.0,0.03608695652173914,20.543913043478266,1011.028695652174,61.608695652173914,222854,Ancol,-6.124591,106.85121,ID
2023-08-22T03:00:00+07:00,0.02206896551724139,0.32000000000000006,34.48275862068966,53.51379310344829,5.358620689655174,65.00344827586207,89.49655172413793,86.27586206896552,0.05655172413793107,25.509655172413797,1010.741379310345,60.793103448275865,222854,Ancol,-6.124591,106.85121,ID
2023-08-22T04:00:00+07:00,0.04111111111111113,0.5062962962962962,45.45555555555556,71.8851851851852,7.439629629629629,80.36666666666667,122.35814814814819,85.44444444444444,0.09444444444444446,34.86444444444445,1010.6403703703703,59.888888888888886,222854,Ancol,-6.124591,106.85121,ID
2023-08-22T05:00:00+07:00,0.04074074074074075,0.4696296296296297,43.48518518518518,68.79999999999998,7.083703703703703,77.6074074074074,117.06814814814814,84.62962962962963,0.09074074074074075,33.324074074074076,1010.8803703703705,59.666666666666664,222854,Ancol,-6.124591,106.85121,ID
